start	end	text
0	1920	but uh...
1920	5000	i don't know if we just have a bad lawyer
5000	8460	i don't know that means being that made me think of you know because
8460	10280	if you can get this thing just
10280	14520	to go away drop whatever you can save us some money with his lawyer
14520	15960	in the in the energy
15960	17000	misery
17000	18880	i don't like lawyers
18880	19480	uh...
19480	21440	i don't know why if that makes you feel any better
21440	24000	it doesn't deal with the fair amount of them unfortunately
24000	26240	yeah it's no fun
26240	28640	i hear you man
28640	32720	uh... i am looking into a couple things uh...
32720	38400	so uh... to answer your question uh... you said you wanted to talk to uh... your lawyer mike
38400	40080	yeah what uh...
40080	42640	what would it be that you'd want to tell them
42640	44800	well i think it would be great to
44800	47000	tell him that uh...
47000	52880	like he says that basically what we decided after speaking with you is that uh...
52880	56120	and you know what i fucked up after so all my life i thought erroneous meant
56120	57600	uh... arbitrary
57600	60160	i guess erroneous means wrong and accurate
60160	64640	so uh... so sabba's uh... this woman's testimony this ridiculous thing she
64640	65800	put together
65800	70120	uh... it's very bizarre as everyone is said including the judge
70120	71240	uh... you there
71240	72720	yeah
72720	74120	oh no can you hear me now
74120	76240	how about this
76240	79040	uh... about the sabba's erroneous uh... report
79040	84040	right right she's saying that now the erroneous uh... the fbis uh... report was
84040	85640	erroneous
85640	90240	this is what he said and he we need so he needs uh... tim and jammy
90240	92560	and you since you spoke to uh...
92560	95960	you know tim and jammy could i guess verify or vouch
95960	98240	uh... is you are not the guy
98240	100800	uh... you did not speak to sabba
100800	102160	and uh...
102160	104440	this is a little bit maybe
104440	106400	i'm not sure it's my connection or
106400	107400	i don't know
107400	108680	mine i'm driving so
108680	110000	oh you're driving
110000	113680	uh... you were saying tim and jammy's
114600	118920	yes so tim so as we figured out last night uh... tim never spoke to sabba
118920	119520	okay
119520	123080	so she wrote and she wrote down that she directly spoke to tim
123080	124040	uh...
124040	126800	so that's a problem that's erroneous and that's it
126800	127440	that's it
127440	130920	i don't know if she did or not
130920	133240	i don't know if she talked to tim
133240	135000	i know that i've never talked to him
135000	137440	that you never... right you're the one that
137440	140080	right this is as long as you tell him you never speak spoke to any of these
