start	end	text
0	11320	okay so you the election comes around right in November you stay up all night
11320	15880	yeah watching in your so but were you in an Airbnb or in your hotel during the
15880	20040	election I I managed to get back into a hotel okay that's what I've got many
20040	24440	came in I had expedient points and so I was able to get a very good deal and a
24440	29000	very nice week okay where was something like 80 euros a night for a
29000	35080	beautiful huge two-room suite yes I do it's a Riverside something in the center
35080	41000	of Prague right where everything is hotel Riverside Riverside I have photos
41000	45160	I pull up all the photos it doesn't matter no we're going chronologically let me get
45160	50880	there I'm in Siena photo-wise so I'm just get the Prague Amsterdam so I did go
50880	55840	back to Amsterdam after that to see Julie after Siena and then I went to
55840	64560	Berlin did the thing with with Moritz then I went to got more drugs in
64560	74680	Nuremberg and Lugano then I went to Lugano do we pass up Lugano and we
74680	83680	didn't okay then I went to Lugano then I went to back to Nuremberg more drugs
83680	90440	from the oh it went to Zurich yeah I remember Zurich yeah that was fucking
90440	97760	scene too so we left out Zurich but Zurich was the whole thing and now I am
97760	103240	in Nuremberg back to Nuremberg now I'm in Prague okay so Airbnb and I stayed at
103240	112880	this hotel right in the center of town called listen Airbnb after the Airbnb
112880	117440	there's the drug bag
118480	124440	Novo Mesto Novo Mesto was one of them it really doesn't matter what the hotel is
124440	129280	called so okay so Trump wins you think yourself the whole world gone mad is what
129280	136640	you started to me Riverside hotel Riverside focus okay the whole world
136640	154960	gone mad yes and you start soon after that calls from reporters you've been
155120	158980	with over the past couple years wondering what if anything you have on
158980	165320	Trump including yourself did I yeah maybe and your quick search turned up
165320	173120	nothing okay so I mean all I did was search Trump yeah I had no idea what
173120	180320	understood okay so your mom as you said has cancelled her credit cards and
180360	185600	you're running out of money you decide to migrate south yeah so you brief time
185600	193160	in Athens where I saw Dmitri right we saw Dmitri and it also had trouble
193160	199160	lining up like acquiring drugs yes terrible that country was it's terrible
199160	203440	for prescription drugs okay then you move on to Rome had to get out of there
203440	209160	fast yes you move on to Rome you're renting a room in San Giovanni yeah
209800	218800	okay and then someone we will describe as Samantha Sheldon she identifies
218800	223320	herself as a reporter with the FT yes and said she's heard about him heard
223320	228480	about you sorry from another journalist and was interested in writing about you
228480	236200	in your story and so she flies from London to Rome on New Year's Eve well
236200	242440	should we say London I mean that's where the FT is based what can we just say
242440	250440	flies from a different country flies from out of the region flies from across
250440	256680	some water a body of water to Rome that makes the effort to fly from a faraway
256720	260920	country because we're giving it to me clues we say London and now it's all
260920	266680	in camera so thanks David well I don't know what's the problem with she's
266680	270440	identified herself as an FT reporter the FT is in London okay but we don't have
270440	273920	to say because it's just you there's many different offices FT there's FT in
273920	279680	Berlin there's FT in Nuremberg I mean not Nuremberg but another German place
279680	283280	there's FT offices all over the fucking world we'll discuss it later because we
283440	289520	discuss this person's identity okay so she flies to Rome on New Year's Eve you
289520	294400	spend the night wandering the city and you tell your story for it sorry FT in
294400	302120	Frankfurt not in Nuremberg but yeah sorry it really doesn't matter no it
