start	end	text
0	5820	Okay, okay. He calls you and asks what you've got in Trump. You say you really
5820	10920	don't know. Right. He agrees to pay ten grand, half upfront, half on delivery for
10920	15840	everything. Pretty quick conversation. Glenn doesn't want to be on an unsecured
15840	22000	phone line. No, he's very paranoid. Yeah, and wants to switch to signal. Yeah. And so
22000	26000	I've seen those signal messages. He says let's get you here ASAP, please come.
26000	29360	There's some discussion about where your grenades should go. You settle on
29360	35120	St. Thomas. 5,000 bucks arrives in your PayPal account. He gives you an amix
35120	41600	number to book plane tickets. You go to St. Thomas. The 5,000 arrives in St. Thomas.
41600	45360	So first he just gives me the car car number. Well, he offers. No, I don't think
45360	49600	that's right. Yeah, yeah, he offers to send. We'll check that. Okay. There's because
49600	54560	I've looked at these times and you've showed me the PayPal receipt or the
54560	57880	anyway, we'll come back to that. But that's some pretty sure that was in St. Thomas
57920	62080	after he and his tech guy looked over the files. Then he said, okay, then they
62080	68800	sent the 5,000. And it doesn't matter. There's you got the 5,000. Before you
68800	73920	get to St. Thomas, Glenn asked for some research on specific topics. He says any
73920	84880	Russian stuff at all. He is looking for stuff on Rentec and Mercer. And then he
84880	88880	said you say you appreciate you've got that stuff. And but it's gonna take a
88880	93680	lot of digging to find it. He says be safe and I'll see you tomorrow. Okay, you're
93680	99040	feeling pretty proud and excited. This is like higher level clandestine work than
99040	104480	you've been previously doing. Glenn is a celebrity a little bit. Yeah. Okay, I
104480	113280	call Peggy too. Okay. So it's a good Peggy come back in the story here. Okay. And
113280	119160	if you want to make a note for Peggy's, but chronologically, yes. Okay, St. Thomas.
119160	127920	Glenn comes with a computer dude. Yeah. You alternate between going through all
127920	132240	the stuff in the hotel suite. Yeah. Is that right? Yeah. You all were in a suite
132240	136760	together, right? No. I had my own and they had one in a different building down
136760	140120	the hall. But in the same hotel? In the same hotel. Okay. And whose hotel suite were you
140120	145680	working in? Mine. Okay. And it so you alternate between that and you spend a
145680	149120	bunch of time out at a picnic table on the beach, drinking beers, smoking cigarettes.
149120	160160	Yeah, and it took me to Strip Club. Okay. Yeah, dirty weird Strip Club. Okay, you've
160200	165800	described Glenn as manic. Unable to sit still, chattering constantly about Trump
165800	171400	and about fusions, financial struggles. He said he told you. He told me everything
171400	175480	wasn't just that. Well, but you got into. Slightly manic. I wouldn't say over it
175480	179440	because manic is a strong word too. Okay, I'll say slightly manic. Yeah. Slightly.
180440	191240	Paranoid. Quite paranoid. Okay. So he told you that any kind of dirt you could turn
191240	197560	up on Mercer, or Rentec, or Trump, or Deutsche could be valuable to him, to his
197560	205560	current or prospective future clients. Yeah. Okay. And he at one point. He sold me
205560	209440	because he knew I did not like Trump. He saw my tweets. And so he knew I was
209440	214320	anti Trump. So he said it's it would be helpful for him to learn about how the
214320	218080	funding Mercer funded the Trump campaign and any connection the Deutsche Bank had
218080	223120	the Trump and the connection between Mercer and Deutsche Bank. And Rentec was
223120	227200	its own entity. If anything on Rentec, fine, but it was mostly Mercer was a
227200	234240	focus. Mostly Mercer. Yeah, Rentec is secondary. Well, Mercer is Rentec. I know.
234240	241040	Well, not really. Mercer had, on his own, whatever his foundation is, gave that
241040	245400	money to Trump. Rentec did not give the money to Trump. Yeah. So in that sense.
245400	250640	Okay, so you're going through all this stuff. You don't actually find a whole
250640	254440	lot in Bill T. Millall concerts. No, as you knew already, there are no mentions of
254440	258320	Trump. No. There is a lot of Rentec stuff. Yeah, there's a lot. Well, that's a
258320	261840	competitive. The name Mercer hardly comes up at all. There's lots of
261920	266000	Rentec stuff. But most of that, it doesn't really shed new light beyond. He's a
266000	271280	Senate Bob Roach and his crew have already turned up so much. So you spend a
271280	276800	few days there and then Glenn invites you to come back to Washington with him.
276800	281200	Yeah. And you agree? Yeah. And you fly separately to avoid a
281200	287880	razmine suspicion. At Dulles, you get a text. I don't know if that's true, but it
287920	293280	could be. What? Fly separately to not a razmine suspicion. The only reason I
293280	296200	have that in here is because you told me. Really? So if you don't, if you're not
296200	299560	sure about that, I shouldn't have. I'm not sure, but sounds good. That's fine. No, no, no,
299560	303720	that's, they, because Glenn said he had to go back for something first. So he only
303720	307520	stayed a few days and then went back to hold still, hold tight here while we
307520	312880	figure out what to do next. Okay. You get to Dulles, he sends you a text with an
312880	315960	address for you to come to. But keep in mind, there's a lot going on in this
316040	320920	hotel. There's this convention. Yeah. But it's not really that interesting on the
320920	324960	grand scheme of things because it's just like a, it's a National Guard meeting. I
324960	328800	think there was National Security Services. No, it's National Guard. I've looked at
328800	332320	your picture of the. There was a lot. There was, well, it was one ballroom. There
332320	336800	was every single ballroom had different government agency attached to it. There's
