[00:00.000 --> 00:01.920]  Val: but uh...
[00:01.920 --> 00:05.000]  Val: i don't know maybe we just have a bad lawyer
[00:05.000 --> 00:08.460]  Val:  but i don't know that means being that made me think of you know because
[00:08.460 --> 00:10.280]  Val: if you can get this thing just
[00:10.280 --> 00:14.520]  Val: to go away drop whatever you can save us some money with this lawyer
[00:14.520 --> 00:15.960]  Val: in the in the energy
[00:15.960 --> 00:17.000]  Val: and misery
[00:17.000 --> 00:18.880]  Val: i don't like lawyers
[00:18.880 --> 00:19.480]  Ko: right uh...
[00:19.480 --> 00:21.440]  Ko: neither do I if that makes you feel any better
[00:21.440 --> 00:24.000]  Val: it doesn't
Ko: I've had to deal with the fair amount of them unfortunately
[00:24.000 --> 00:26.240]  Val: yeah it's no fun
[00:26.240 --> 00:28.640]  Ko: i hear you man
[00:28.640 --> 00:32.720]  Ko: uh... i am looking into a couple things uh...
[00:32.720 --> 00:38.400]  Ko: so uh... to answer your question uh... you said you wanted to talk to uh... your lawyer mike
[00:38.400 --> 00:40.080]  Val: yeah
[00:40.080 --> 00:42.640]  Ko: what would it be that you'd want to tell them
[00:42.640 --> 00:44.800]  Val: well i think it would be great to
[00:44.800 --> 00:47.000]  Val: tell him that uh...
[00:47.000 --> 00:52.880]  Val: like he says that basically what we decided after speaking with you is that uh...
[00:52.880 --> 00:56.120]  Val: and you know what i fucked up after so all my life i thought erroneous meant
[00:56.120 --> 00:57.600]  Val: uh... arbitrary
[00:57.600 --> 01:00.160]  Val: i guess erroneous means wrong, inaccurate
[01:00.160 --> 01:04.640]  Val: so uh... so sabba's uh... this woman's testimony this ridiculous thing she
[01:04.640 --> 01:05.800]  Val: put together
[01:05.800 --> 01:10.120]  Val: uh... it's very bizarre as everyone is said including the judge
[01:10.120 --> 01:11.240]  Ko: uh... you there
[01:11.240 --> 01:12.720]  Val: yeah
[01:12.720 --> 01:14.120]  Val: oh no can you hear me now
[01:14.120 --> 01:16.240]  Val: how about this
[01:16.240 --> 01:19.040]  Ko: uh... about the sabba's erroneous uh... report
[01:19.040 --> 01:24.040]  Val: right right she's saying that now the erroneous uh... the fbis uh... report was
[01:24.040 --> 01:25.640]  Val: erroneous
[01:25.640 --> 01:30.240]  Val: this is what he said and he we need so he needs uh... tim and jammy
