start	end	text
0	7760	cigarettes in town. And then you're stuck at the campground because your mom's credit card is
7760	18240	basically toast. And you're out of money because Avis has stolen or whatever. So at the campground
19120	24560	you're playing gigs there to earn your keep essentially? Yeah they said not to earn my keep,
24560	31280	just sort of. I had nothing else to do and they said look you can stay here and we'll run a tab for
31280	36160	you you know but we're going to have to move you out of the nice cabin and put you into the safari
36160	41760	tents in this other other. So you're staying in a tent? Yeah staying in a tent. It's like a you
41760	47360	know there's sort of big safari tents you see. Like on a platform? Yeah yeah I should have to
47440	54800	so many pictures. I'll show you some more. And it's like bunk beds inside this tent and so I had
54800	61840	the whole thing to myself and it was at the further reach of the campgrounds. And yes I would play
61840	65840	during the day I would just because I had nothing else to do so I just played music but it wasn't
65840	70160	earning my keep but in the sense they're sick well you know just keep playing and then we'll
70160	74960	do this for you. You can eat for free at the cafe and you can live in this tent until you get this
74960	79200	thing solved with Avis because I explained to them the whole thing and why I was here I showed
79200	84560	them the air post thing they understood okay this is Val's you know not trying to rob us here this
84560	91280	is a legitimate thing they saw the the tape on the car they saw the broken glass before and after
91280	95440	they saw the police report which is written in fucking Dutch so and they were all Dutch people
95440	99680	so they understood the police report so they all were kind of on my side and they're very good
100000	104640	people they're very nice people that ran that place you at the camper that's where you meet Julie
104640	109280	that's where I meet Julie yeah she's 24 at the time she's taking her class in Amsterdam yeah
110160	116800	her father had died in 2015 from her heart attack yeah and she says to me we shared the madness of
116800	123600	death uh that's very Julie and I also know that you also shared lots of mushrooms yes we did um
124400	126400	okay
127440	133760	I believe they're called truffles now, psilocybin truffles, truffles yeah because you can't in
133760	139440	Amsterdam legally sell mushrooms psilocybin mushrooms so they sell psilocybin truffles
140160	147840	it's just like a work around the law the same thing okay um you at this point I think find
147840	151920	another credit card in your mom's email yeah basically enables you to get back on the road
151920	156400	exactly and so you're at the camper and you make contact with David Rossi or sorry with a lawyer
156400	160160	for the winner it's a little more dramatic than that I escaped fleeing boats on the cover of night
160160	166160	because my stay was no longer accepted it was I overstayed my welcome did you put this in the
166160	172400	book too yeah I did not I overstayed my welcome and I was getting moved from the safari tent and
172400	177920	then when there was a bunch of Scottish kids coming in for some EDM concert they asked me to sleep in
177920	181920	the back of the car with the broken window and still had glass in the back because I didn't
181920	186800	want to touch anything for the insurance people in case avis actually fucking showed up I spend my
186800	192960	days on the reason why and this is important because this this is a really long story but I'm
192960	200880	going to do my best to summarize um is that I they had one phone I could not top up my phone
200880	205200	because I couldn't I was negative $15,000 in my accounts I could not top up my phone I could
205200	209200	not make a phone call I could use their wifi and the reason you're $15,000 negative is because
209200	213280	avis is basically charging for the price of a new car yes they charge me for the price of a new
213280	218320	fucking car and it took me a very long time and I was only allowed like a two hour period during
218320	222960	the day to use their house phone and that's what I would spend the days calling avis trying to get
222960	227440	figure out what's going on just from customer service person to customer service person six
227440	233680	weeks later okay I'm still working on it but I had I had managed to escape because they were
233760	237360	getting tired of me I overstayed my welcome I find that hard to believe
238240	244320	fuck you fucker um no but I I mean when they moved me and they said you have to sleep in your car
244320	250160	now it's that's what I knew like okay this is I've overstayed my welcome I got a guy it's avis is
250160	254880	still dragging their feet they haven't done anything they sent me from customer service agent
254880	260400	customer service agent nothing's been done I met Julie I'm like okay I'm just going to escape with
260400	266400	Julie and they had why did you do a skate because legan bus held on to my passport and my guitar
266400	271760	because then you I would go nowhere without my my why did they want to have anything in case in case
271760	277120	I left without paying the bill that I had oh so you had a bill I had a bill they gave me like a half
277120	281040	price for everything but they were still charging me for the food because I had to stay I had to
281040	287120	eat something yeah so I had how big was the bill it was about 2500 euros at the end of it which is
287120	290640	half price for everything yeah they did I mean they're still very kind and that was a very good
290640	295680	deal for what they gave me which was they let me live so wait why let me stay like they wouldn't
295680	300720	let me be homeless and I was very kind of but I had could not pay that 2500 dollar bill and no matter
300720	305760	even when I found the other credit card I tried so hard online to pay this with them and they could
305760	311120	not accept the digits it was chip and pin only and I was like come on please just plug in it's like I
311120	315520	love to believe me we want to get you out here and pay this no we don't care where you got this
315520	321520	number we believe you but we cannot do it without the chip it's like a law in in this in Amsterdam
321520	325680	so I went online they try and do it online they would not accept the card because it was not
325680	329600	an international card it was an American card they wouldn't accept it in the fleeing boat so I'm like
329600	333920	can you just change your fucking online payment system like that we don't know anything about it
333920	338880	we hired a tech company to do it we can't do it I tried so hard to pay them with with my mom's credit
338880	347600	card so I had no other choice when they when I was uh uh what's the word not so educated
348160	352640	regulated or when I was moved to the back of my car with the broken glass relegated relegated to the
352640	358160	back of the car broken glass with the fucking sleeping bag and you had to leave they had held
358160	362720	on to my fender strat they knew I would go nowhere without the fender strat and my passport
362720	368400	which I obviously would not go anyway my passport so over the weekends the security was very
368400	375120	lax days ago and there was this really great guy who's like a uh it used to be like a children's
375120	379440	clown for a long time and then something happened in his life he lost all his money his wife and
379440	384560	now he's a security guard for fleeing boats really nice guy I talk him into giving me my guitar
384560	388880	and that saturday night he says oh I just want to play it let me just keep in the car I'm sleeping
388880	393840	in the car right here I'm not going where it's out of course here's your guitar Sunday night
393840	398400	there's another guy who's a real dick he was a one it was a writer he was a terrible writer
398400	404400	really bad it was a dutch guy trying to cliches everywhere like he was asking everyone to read
404400	409920	his books and they're fucking terrible and so I talk him and I told him my story he wanted to
409920	412720	oh this is a really interesting story you should do I was like I don't want to hear your fucking
412720	416720	advice for my story but I talk him into giving me my passport because I said I want to buy some
416720	421680	cigarettes I don't have an ID I can walk to the nearest town with my friends here to buy some
421680	425200	cigarettes kind of just have my password so yes you can have just make sure you give it back
425200	431120	by him tonight so I take the password I have my guitar I'm all ready to go I'd say you know what
431120	437040	I can't walk I got to drive this broken fucking car to the uh cigarette store because the one
437040	441280	that's in walking distance is closed can you please open the gate I was like okay push the button
441280	447520	opens the gate and I'm fucking free fine I go straight to Julie's oh so Julie isn't living
447520	454960	at the camp her name no she's a student student right okay yeah she's okay and so at what point
454960	462000	do you make contact with uh luka garachi is that at the campground while I was living in the tent
462000	469120	yeah okay that's where I'm at yeah okay so um I quote you emailing him saying maybe I can help
469120	472480	maybe we can help each other and perhaps also help other families of those who've suffered
472480	481200	for all this misery yeah um he invites you to come to sienna yeah um you do so in early august
482000	488400	by then you've got an outing now right no no sorry it's a white BMW convertible yeah but that's
488400	493360	an a whole nother story because again after six weeks I get into I get into steinberger this is
493360	498560	where I check into the steinberger wait sorry hang on first there was the dorms Julie and I went to
498560	504000	the dorm when I got the credit card working and I'm like you know fucking haven't showered and God
504000	510240	knows how long I look like shit I got the beard and I got this 24 year old hot German girl with me
510880	517200	walking in with guitars in my hand and you know a bunch of and and no credit card again it's it
517200	522960	wasn't easy but all I had was memorized 15 digits of my mom's fucking american express I don't have
523040	528720	security code I had the expiration date so four more digits and I walk in there and I just
528720	533360	fucking talk them into letting me stay on this credit card and it was not easy and Julie was
533360	538480	very surprised that it worked I was like wow I can do this this is a steinberger no this is a
538480	542400	different this is at the dormant and then I did the same exact thing at the steinberger
542400	548240	okay don't you got booked we booked the biggest fucking suite possible and got the whole spa
548240	552560	package at the dormant and Julie and I would just relax for a bit it was just nice to have a
552560	559360	fucking campground have a little bit of civilization you know and we just fucked and had a good time
560080	565040	and went to the pool and saw it as it was just nice to get out of that fucking situation and then
565040	570000	they were booked um and I couldn't renew the suite and I didn't want to get one of those shitty fucking
571680	575040	so I didn't you know whatever I didn't want to live in a city where I just lived in a fucking
575760	580400	so then I go to steinberger and I stay there for about six more weeks and still dealing with
580400	585440	avis they still have not refining the money or or giving me a new car or done anything and this is
585440	590080	where the tab what I've got the tab this is where Julie gets a brilliant idea is to email the board
590080	595840	of directors at avis so just get the fucking call the ceo if you can like you're fucking right and I
595840	602240	go to like ceoemails.com there is a website to ceoemails.com and I find every board member on avis
602240	607600	and I send them all a fucking email like I'm stuck here get me out of this fucking thing it's been
607600	612640	six weeks fuck all you and then finally I get one of the board members gets back to me and that's
612640	616880	how they send out the specialist and remember I say in emails do you mean the specialist that
616880	622160	guy's fucking nuts the guy flies out from London to Paris to deal with this and he goes to the
622160	627760	headquarters in the stand bowl and he's still keeping me you know fucking with me this whole time
627760	631920	he says what we're gonna do is gonna swap out your car we're gonna give you a new car and after
632960	638640	that's how fucking long it is I think it's six weeks or sorry it was actually five weeks of
638640	643760	league and boasts and then it was another month at Steigenbreder the guy's finally swaps out the
643760	649440	car and it was a BMW convertible right a two-seater which is completely inappropriate for what I need
649440	653200	because I had so many bags and guitars at that point and I showed you the pictures where it all
653200	658560	just popping out of the fucking car I couldn't believe it and they said and and I had to talk
658640	662640	him say well we need a working credit card you can't use a debit card I said well you know I'm
662640	667360	negative 15,000 because of you fuckers on my debit card so I couldn't use that anyway and I
667360	671120	don't have a working credit card I said well you can't so we can't swap out this card because
671120	676720	officially we need a credit card number it's like okay I've got a family card that we can use I've
676720	682000	just called my family's private banker and I just played it out like I'm this you know this special
682000	686400	rich person with private bankers call the private banks they they've authorized the use of this
686400	692480	credit card it has my family name on it um it's actually a brooksmit family card you know I didn't
692480	696560	say a la brooksmit I said brooksmit family card I'm obviously Val as you know we've been talking
696560	700400	to each other say I'm not supposed to do this it's getting in trouble it's like look man
701600	706160	you know I just gave him a whole fucking charm spiel the best I could do is say fine okay just
706160	712320	use the card so I gave him that those 16 digits again sorry in the expiration code they put it
712320	718960	on my mom's card and I was finally free and then I could go to Siena I checked out at Steigenberger
718960	725920	and I went to Julie moved from her student housing into this beautifully lovely dilapidated
725920	731280	squat with all these other girls and that was fucking great so we lived in this squat with her
731280	735520	and her friends and that was fucking fun and I'd moved all my shit in there and use that as my
735520	741600	home base point for that for the next trip to Siena okay left the guitars and all this shit in there
741600	748080	and then I went to Siena but I stopped in Berlin first before no no I'm sorry I went to Siena first
748080	755920	and then Berlin but we'll get there okay so in Siena your and the whole the whole trip now
755920	764480	is funded by me walking in with guitars being the the exotic American with 16 digits pretending that
764480	768720	this is all I don't know anything about money all I know is they said you can use this card
768800	773520	okay Mr. Berksman yes of course and I got cash by by saying you know I don't know if you guys
773520	777840	still do this oh well we don't really give cash against the room anymore it wasn't you know like
777840	782000	I'm a bit of a trouble here I'm not quite sure what to do and then the bank rates and the exchange
782000	786240	rates are just terrible I'm losing so much money on these exchange rates like oh yes they are quite
786240	790240	terrible we can give you a better rate actually here but it's actually a nominal commission
790240	794800	charge okay let me let me get 500 euros against the card like of course Mr. Berksman and so I would
794800	800000	do like every other day get 500 euros and that's how we'd amass enough cash to get through it this
800000	809920	the next adventure um okay so after spending $10,000 a month on each hotel and the DAS stew is
809920	815520	probably my favorite of all of them the which one the DAS stew in Berlin is the greatest hotel
815520	821040	great people what do you think you spent overall overall Jesus I don't know there's 10 grand there
821120	828320	another 10 20 maybe about 45 50 grand on that card over what time period
829680	836800	from spring or summer of oh no oh I forgot about the plane tickets yeah maybe about 50 grand
837440	848240	from a spring of 2016 to uh November of 2016 right yeah um okay so
848880	858240	splurge um okay so you go you're in sienna you go you walk over to garachi's home and office yeah
858880	863440	you meet and I bought two more guitars and amplifier which are still at charles
864000	871200	and I walked into the music store in nuremberg with Julie hey I'm on tour and I need some new guitars
871200	876880	and you know all I'm the tour manager gave so we can use this credit card number say oh of course
876880	881520	mr. Berksman uh what's your name again is oh if you look me up uh bikini robot army so oh you have a
881520	887680	lot of albums like oh yes you know so like oh you must be an american oh I play guitar you know I have
887680	891040	a show coming up you should are you gonna be in nuremberg oh yes I'll try and make it to your
891040	897600	show young man of course that's a place this whole bullshit game and they let me buy these guitars with
898480	906000	no credit cards it's 16 digits and you didn't feel any you didn't feel all bad no no I did not
906640	914560	I'm using my mom's card no absolutely um okay because again keep in mind I know I've seen the
914560	920320	money reports I've seen what's happened I've seen the way it's been treated did not feel bad at all
920320	927040	but I would never ever I mean I never I mean I had so many chances even from just the Sony hack
927040	931840	you know me credit card numbers I'd access to I mean for fuck's sake I mean I could hack anybody
931840	937920	anytime never use anyone else's card it's the only target just your mom just my mom that's it
937920	944320	that's the money was owed for me from her I felt kind of owed to me or just to stay alive I mean
944320	950160	I would rather stay in the streets than steal from some stranger I that's and I have many times has
950160	955200	you know yep and I had many options to do so and I never did it's only my mom's card never even
955200	959520	my sister's I could have taken my sister's credit cards never didn't want to ever touch my sister's
959520	966800	money it's my mom okay so you go to garachi's head and my uncle Bob so many options is to
967360	971680	so much money from so many people but I would never do that that's not you know I make that
971680	977600	quick sound people here is some hacker that steals people's shit you know I mean yeah I owe
977600	984400	fleeing boats 2500 still yes but that was I had to go there was it was time was up and technically
984400	990960	then steal I just owed them this money and then and anyway you know you get my I get your point
990960	1000480	thank you okay so you're in sienna go to garachi's house you exposed light bulb dangling from the
1000480	1011360	ceiling yeah man guys red central casting caravaggio is my favorite yeah italian renaissance
1011360	1023120	is excessive fantastic yes I used to be really obsessed yeah until like two weeks ago we had in
1023120	1031120	my house a print of saint gerome writing which is this wonderful caravaggio saint gerome with you
1031120	1036800	know his halo bald head and kind of a robe over him sitting at a table kind of stooped over writing
1036800	1042080	with like a skull on the table oh yeah with the with the candle on the top of the skull yes that's
1042080	1049360	it's like it's a beautiful beautiful it's beautiful um yeah the print like a it's not like it was it's
1049360	1058400	like a essentially like a poster oh okay it is uh uh but I had no nice frame anyway so the widow uh
1058400	1068320	what's her name tibonasi uh uh no the widow um uh dig rossie and antonella antonella tibonasi
1068320	1074480	yeah so she comes out of the corner she scares you like the scene in vertigo yeah really like
1074480	1081680	the very end vertigo the nun coming listen man yeah you do did you watch vertigo I mean
1081680	1087200	not recently but I've seen vertigo better listening yes you should watch vertigo I've seen vertigo
1087200	1094640	yeah yeah oh okay did you watch the girl the dragon tattoo yeah I watched I've seen the one of them
1094640	1099440	yeah the first one yeah probably remember how I kept saying the girl the dragon tattoo ending
1099440	1105040	is what I had planned I don't remember the end it's where she hacks the the bad guy the bad
1105040	1111200	businessman steals all his money puts it all offshore and and it goes to different banks
1112640	1116320	as a as a character she created that doesn't exist only on paper kind of like the straw
1116320	1120400	shank redemption ending as well and that's what I had planned with my mom was to take all that
1121200	1127280	for myself and do that and just live in some somewhere where that couldn't be extradited for
1127280	1132480	stealing back the you know and putting my mom into a rehab making her living in a sober living
1132480	1140160	environment that was my plan that's how angry I was very very angry but that's the the girl
