start	end	text
0	2000	Right now. Good.
2000	4000	Okay. Yeah.
4000	6000	Where are my phones?
6000	8000	Uh-huh. Where am I?
8000	10000	Deployed.
10000	12000	Deployed.
12000	14000	Oh, why don't you take these out for a second?
14000	16000	Okay.
16000	18000	One, two, three.
31000	33000	I don't think I like these jeans.
33000	35000	They're really great.
35000	36000	Yeah, very.
36000	38000	Yeah, especially when we run the run.
38000	40000	Okay.
40000	42000	Thank you, baby.
42000	43000	You're kind of...
43000	44000	Normal guy.
44000	45000	Normal guy?
45000	46000	Oh, good.
46000	47000	Cool.
47000	48000	Cool style.
48000	49000	Yeah.
49000	50000	Like, very stylish.
50000	51000	Nice.
51000	52000	Okay.
52000	53000	I don't...
53000	55000	I don't wear this stuff.
57000	58000	Okay.
58000	59000	Huh?
68000	70000	Oh, my cigarette.
70000	71000	Oh, yeah, my check.
71000	72000	I need that mask.
72000	73000	Okay.
73000	75000	And my cigarette loaves.
77000	78000	What are you using now?
78000	79000	Uh, later.
79000	81000	Like a small one.
81000	83000	Oh, I think I have one in my bag, actually.
83000	84000	Oh, yeah.
84000	85000	Oh, perfect.
85000	86000	No, no, no. Wait, wait.
86000	87000	This one scares me.
88000	89000	No.
89000	90000	That's not good.
90000	92000	You can put that somewhere else.
94000	95000	One, two, three.
95000	96000	Courage, huh?
96000	98000	Do you want to give me back all the other stuff?
100000	101000	The, um...
101000	102000	The bad greeners?
102000	103000	Yeah.
103000	104000	Do you want that back?
104000	105000	Yeah, this one.
105000	106000	Okay.
107000	108000	Yeah.
108000	109000	I can't do this one.
109000	110000	Okay.
113000	114000	Is it bad?
114000	115000	Yeah.
115000	116000	Yeah.
116000	117000	I can't do this.
117000	118000	I don't know if it's...
118000	119000	It's good.
119000	120000	It's good?
120000	121000	Yeah.
121000	122000	It's beautiful.
122000	123000	Oh, that's beautiful.
123000	124000	You...
124000	126000	I'm gonna picture you in your beauty.
129000	130000	Okay.
130000	131000	Wow.
139000	140000	Okay.
140000	141000	That's all.
141000	142000	That's all.
143000	144000	Um...
144000	146000	Maybe you can meet me if you come downstairs now.
149000	150000	Why don't you go by the building?
150000	151000	Come here.
151000	152000	Come here.
152000	153000	No, no, in front of the building.
154000	155000	Just get in there.
155000	156000	Just...
156000	158000	Just get your best friend in the building, please.
159000	161000	Why are you both doing that with your top?
162000	163000	That would be that, no.
163000	165000	This is not France in 1992.
166000	167000	Both shoulders off.
168000	169000	That's better.
169000	170000	That's what I'm talking about.
172000	173000	What?
175000	177000	I'm telling you to come down and meet me.
178000	180000	See, he's supposed to come down and meet me.
180000	182000	You have to sneak me in, remember?
204000	206000	He's heading down now.
206000	207000	Okay.
211000	213000	So, I'll say Marie wants me...
235000	236000	Do you do well?
236000	237000	Do you need to do well?
238000	239000	Yes, I do.
240000	242000	I'm saying you just want to briefly meet him and say hi.
